N,PARQUE INDUSTRIAL,MUNICIPIO,DIRECCION,ADMINISTRACION,LATITUD,LONGITUD
"65","PREMIUM PARK LERMA","LERMA","AVENIDA DE LA INDUSTRIA AUTOMOTRIZ 33, PARQUE INDUSTRIAL LERMA TOLUCA, 52000 LERMA DE VILLADA, MÉXICO.","PRIVADO", 19.294754, -99.555240 
"66","WORLD PARK LERMA","LERMA","RODOLFO PATRON 105, ISIDRO FABELA CP. 52004 LERMA DE VILLADA, ESTADO DE MÉXICO.","PRIVADO", 19.288530, -99.529115
"67","PARQUE AGROINDUSTRIAL SAN ANTONIO LA ISLA","SAN ANTONIO LA ISLA","CARR. TOLUCA-TENANGO KM. 15, SAN ANTONIO LA ISLA, MÉXICO, C.P. 52280.","MUNICIPALIZADO", 19.175837, -99.576241
"68","PARQUE INDUSTRIAL TENANGO DEL VALLE","TENANGO DEL VALLE","CARR. TOLUCA TENANGO KM. 21.1. ZONA INDUSTRIAL, TENANGO DEL VALLE, MEXICO, C.P. 52300.","MUNICIPALIZADO", 19.119336, -99.595146
"69","PARQUE INDUSTRIAL LAS AMÉRICAS","HUEHUETOCA","CARRETERA JOROBAS TULA KM 3.5. COL PARQUE INDUSTRIAL HUEHUETOCA, HUEHUETOCA, MÉXICO, C.P. 54680.","PRIVADO", 19.849772, -99.238007
"70","PARQUE INDUSTRIAL XALPA DE VILLA HORMES","HUEHUETOCA","CARR ZUMPANGO HUEHUETOCA ENTRE CALZADA LOS MARISOLES Y AV. BENIGNO PÉREZ, COL. HACIENDA DE XALPA, HUEHUETOCA, MÉXICO, C P.54680","MUNICIPALIZADO", 19.812035, -99.190603
"71","CPA LOGISTIC CENTER HUEHUETOCA","HUEHUETOCA","CARRETERA JOROBAS TULA, KM 7.5 SANTIAGO TLATEPOXCO HUEHUETOCA, MEXICO.","PRIVADO", 19.894085, -99.241278
"72","PARQUE INDUSTRIAL HUEHUETOCA (ODIH)","HUEHUETOCA","KM 30 CARRETERA HUEHUETOCA APAXCO, COL BARRANCA PRIETA HUEHUETOCA, MEXICO.","PRIVADO", 19.839678, -99.206342
"73","CENTRO LOGISTICO PUENTE GRANDE","CUAUTITLÁN IZCALLI","CARR CUAUTITLAN TEOLOYUCAN COL SANTA BARBARA, CUAUTITLAN IZCALLI, MÉXICO, C.P. 54713.","PRIVADO", 19.819191, -99.205352
"74","FRACCIONAMIENTO INDUSTRIAL CUAMATLA","CUAUTITLÁN IZCALLI","KM. 38 DE LA AUTOPISTA MÉXICO QUERETARO ENTRE LAS AV. CALZADA DE GUADALUPE, HENRY FORD E INTERCEPTOR PONIENTE. COL INDUSTRIAL CUAMATLA, CUAUTITLÁN IZCALLI, MÉXICO, C. P. 54730.","MUNICIPALIZADO", 19.662937, -99.197266
